Genus,kingdomGBIF,phylumGBIF,classGBIF,orderGBIF,familyGBIF
Wilsonema,Animalia,Nematoda,Adenophorea,Chromadorida,Plectidae
Xiphinema,NA,NA,NA,NA,NA
Dolichotis,Animalia,Chordata,Mammalia,Rodentia,Caviidae
Galea,Animalia,Chordata,Rodentia,Mammalia,Caviidae
Microcavia,Animalia,Chordata,Rodentia,Mammalia,Caviidae
Akodon,Animalia,Chordata,Mammalia,Rodentia,Muridae
Calomys,Animalia,Chordata,Mammalia,Rodentia,Cricetidae
Eligmodontia,Animalia,Chordata,Mammalia,Rodentia,Cricetidae
Graomys,Animalia,Chordata,Mammalia,Rodentia,Cricetidae
Spinus,Animalia,Chordata,Aves,Passeriformes,Fringillidae
Melospiza,Animalia,Chordata,Aves,Passeriformes,Emberizidae
Geothlypis,Animalia,Chordata,Aves,Passeriformes,Parulidae
Setophaga,Animalia,Chordata,Aves,Passeriformes,Parulidae
Colotis,NA,NA,Insecta,Lepidoptera,Pieridae
Sylvilagus,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae
Turdus,Animalia,Chordata,Aves,Passeriformes,Turdidae
Zonotrichia,Animalia,Chordata,Aves,Passeriformes,Emberizidae
Dendroica,Animalia,Chordata,Aves,Passeriformes,Parulidae
Sorex,Animalia,Chordata,Mammalia,Insectivora,Soricidae
Friesea,Animalia,Arthropoda,Entognatha,Collembola,Neanuridae
Hypogastrura,Animalia,Arthropoda,Entognatha,Collembola,Hypogastruridae
Nothrus ,Animalia,Arthropoda,Arachnida,Oribatida,Nothridae
Oppiella,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Oppiidae
Platynothrus ,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Camisiidae
Tullbergia,Animalia,Arthropoda,Entognatha,Collembola,Tullbergiidae
Variatipes,Animalia,Arthropoda,Arachnida,Prostigmata,Scutacaridae
Arctoseius,NA,NA,NA,NA,NA
Dendrolaelaps,Animalia,Arthropoda,Arachnida,Mesostigmata,Digamasellidae
Eniochthonius,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Eniochthoniidae
Sellnickochthonius,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Brachychthoniidae
Suctobelbella,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Suctobelbidae
Zercon,Animalia,Arthropoda,Arachnida,Mesostigmata,Zerconidae
Cryptoblepharus,Animalia,Chordata,Reptilia,Squamata,Scincidae
Demansia,Animalia,Chordata,Reptilia,Squamata,Elapidae
Gehyra,NA,NA,NA,NA,NA
Heteronotia,Animalia,Chordata,Lepidosauria,Squamata,Gekkonidae
Menetia,Animalia,Chordata,Reptilia,Squamata,Scincidae
Parasuta,Animalia,Chordata,Lepidosauria,Squamata,Elapidae
Pogona,Animalia,Chordata,Reptilia,Squamata,Agamidae
Pygopus,Animalia,Chordata,Lepidosauria,Squamata,Pygopodidae
Underwoodisaurus,Animalia,Chordata,Lepidosauria,Squamata,Carphodactylidae
Varanus,Animalia,Chordata,Reptilia,Squamata,Varanidae
Vermicella,Animalia,Chordata,Reptilia,Squamata,Elapidae
Speyeria,NA,NA,Insecta,Lepidoptera,Nymphalidae
Forbs,Animalia,Arthropoda,Insecta,Hymenoptera,NA
Poaceae,Plantae,Monocotyledonae,Cyperales,Poaceae,NA
Prosopis,NA,NA,NA,NA,NA
Apodemus,Animalia,Chordata,Mammalia,Rodentia,Muridae
<0.1m,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae
0.1-0.2m,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae
0.2-0.7m,Animalia,Arthropoda,Malacostraca,Decapoda,Laomediidae
0.7-.01m,Fungi,NA,NA,NA,NA
0.7-1.0m,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
1.0-1.5m,NA,NA,NA,NA,NA
1.5-2m,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
2.0m+,Animalia,Annelida,Clitellata,Tubificida,Naididae
Brachypodium,Plantae,NA,NA,NA,Poaceae
Corylus,Plantae,Spermatophyta,Magnoliopsida,Fagales,Betulaceae
Crategus,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae
Pteridium,NA,NA,NA,NA,NA
Rubus,NA,NA,NA,Rosales,Rosaceae
Salix,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Salicaceae
Urtica,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae
Tephritis,NA,NA,NA,NA,NA
Xyphosia,Animalia,Arthropoda,Insecta,Diptera,Tephritidae
Pteromalus,Animalia,Arthropoda,Insecta,Hymenoptera,Pteromalidae
Aspidoscelis,Animalia,Chordata,Lepidosauria,Squamata,Teiidae
Gambelia,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae
Uta,Animalia,Chordata,Squamata,Reptilia,Phrynosomatidae
Amblyomma ,Animalia,Arthropoda,Euchelicerata,Ixodida,Ixodidae
Lepus europaeus,NA,NA,NA,NA,NA
Tetraclita,Animalia,Arthropoda,Thecostraca,Sessilia,Tetraclitidae
Bufo ,NA,NA,NA,NA,NA
Rana,NA,NA,NA,NA,NA
Julidae,Animalia,Arthropoda,Diplopoda,Julida,Julidae
Lepidoptera-larvae,Animalia,Arthropoda,NA,Lepidoptera,NA
Polydesmidae,Animalia,Arthropoda,NA,NA,NA
Heteroptera,Animalia,NA,NA,NA,NA
