"uniqueID","Title","Authors","Source.Title","Publication.Year","exclude","reason.simplified","grazer.status","last.grazing.event","study.duration","lat","lon","elevation","country","n.sites","survey.technique","grazerspecies.indigenous","grazerspecies.domestic","site.lat","site.lon","site.elevation","plantedvsselfassembled","veg.class","openvsfenced","tilledvsleftalone","herbivores","fertilization","fire","publicvsprivate","year.initiated","year.finished","FloodEvent","hasData"
183,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
285,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
367,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
1389,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2066,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2617,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2715,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2723,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2741,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2752,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2757,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2779,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2789,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2790,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2804,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2810,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2815,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2881,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2908,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
2989,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
3232,"","","",NA,"",NA,"","",NA,NA,NA,"","","","","","","","","","","","","","","","","","","","",""
5,"Contrasting responses of plant and insect diversity to variation in grazing intensity","Kruess, A; Tscharntke, T","BIOLOGICAL CONSERVATION",2002,"no",NA,"domesticated","3-5 yr",1,53.7139352,9.733176,"14","Germany","24","suction sampling","no","yes","","","","SA","grassland;forest","","LA","cattle;auchenorrhyncha;heteroptera;hymenoptera","","","private","1996","1996","","yes"
