Estimate,Est.Simplified,Est.Reduced
Forb biomass (g),abundance,abundance
Total biomass (g),abundance,abundance
Abundance (10? individuals/m?),abundance,abundance
Abundance (10? individuals/m?) plant feeders,abundance,abundance
Abundance (10? individuals/m?) fungivores,abundance,abundance
Abundance (10? individuals/m?) bacteriavores,abundance,abundance
Abundance (10? individuals/m?) predators,abundance,abundance
Abundance (10? individuals/m?) omnivores,abundance,abundance
Microbical N (mg N/kgSOM),Microbial biomass N content,abundance
Microbical respiration (mg CO2/g/hSOM),respiration,abundance
Microbial biomass C (g C/kg soil),Microbial biomass C content,abundance
Total bacteria (g/m? soil),abundance,abundance
Total fungi (g/m? soil),abundance,abundance
Total bacteria:Total microbial biomass carbon content,abundance,abundance
Log abundance,abundance,abundance
Number,abundance,abundance
Frequency of occurrence,frequency,abundance
Total insects,abundance,abundance
abundance,abundance,abundance
Count,abundance,abundance
Density (#/9ha),density,abundance
percent cover,percent.cover,abundance
density,density,abundance
dung per ha,scat density,abundance
biomass,abundance,abundance
biomass (g/m2),abundance,abundance
biomass (mg /g),abundance,abundance
mean capture per trap,trapped individuals,abundance
individuals per ha,density,abundance
biomass (g/m2),abundance,abundance
shrub abundance,abundance,abundance
tree abundance,abundance,abundance
understorey percent cover,percent.cover,abundance
trapped individuals,trapped individuals,abundance
bird species per plot,species per plot,abundance
microbial respiration (ug / g soil),respiration,abundance
ANPP,ANPP,abundance
scat density,scat density,abundance
Microbial respiration (ug / g),respiration,abundance
colony abundance,abundance,abundance
percent cover,percent.cover,abundance
microbial N (ug / g),microbial N,abundance
microbial P (ug / g),microbial C,abundance
proportion of sites,abundance,abundance
flower abundance,abundance,abundance
root abundance,abundance,abundance
density (no / m2),density,abundance
biomass (g/m2),abundance,abundance
number of territories,number of territories,abundance
plant height (cm),height,abundance
biomass (mg),abundance,abundance
perch height (cm),height,abundance
litter size,abundance,abundance
productivity,productivity,abundance
height (cm),height,abundance
mean body mass (g),mean body mass,abundance
number of offspring,number of offspring,abundance
soil denisty (per 200 m3),density,abundance
breeding density (pairs per km2),density,abundance
total cover (%),percent.cover,abundance
Number,abundance,abundance
taxa,abundance,abundance
Biomass(g),abundance,abundance
spores/g soil,abundance,abundance
biomass (g/m2),abundance,abundance
captures/plot/100 trap nights,captured.individuals,abundance
number caught ,captured.individuals,abundance
abundance/100 trap days,abundance,abundance
Spore abundance/g soil,abundance,abundance
capture rate,captured.individuals,abundance
density/transect,density,abundance
number/10x10cm area,abundance,abundance
abundance/pitfall trap,abundance,abundance
cumulative hare droppings (number/m^2/day),scat density,abundance
number/ha,density,abundance
abundance/sample,abundance,abundance
Abundance/plot,density,abundance
ind./10ha,density,abundance
adults/1 km transect,density,abundance
larvae/1 km transect,density,abundance
nymphs/1 km transect,density,abundance
birds/km fenceline,abundance,abundance
Lichen % cover,percent.cover,abundance
abundance per site,abundance,abundance
population density,density,abundance
percent occurance,abundance,abundance
visitation frequency (#/5mins),frequency,abundance
density (400 m2),density,abundance
density/ha,density,abundance
cover depth (cm),cover depth,abundance
Count,abundance,abundance
Canopy cover (%),percent.cover,abundance
individuals/ha,density,abundance
flowering.stem.density/ha,density,abundance
cover,percent.cover,abundance
biomass (kg/ha),abundance,abundance
pellet count,scat density,abundance
counts/rep/hour,abundance,abundance
captures/100 nights,captured.individuals,abundance
termite abundance index,abundance,abundance
small mammal abundance/100 trap nights,abundance,abundance
number of ant occupied trees,abundance,abundance
bird abundance (observations/site),abundance,abundance
numbers/count,abundance,abundance
mycorrhizal fungal colonization intensity,abundance,abundance
number of ants captured,abundance,abundance
Grass cover (%),percent.cover,abundance
Forb cover (%),percent.cover,abundance
burrow density,density,abundance
individuals/g,density,abundance
birds/plot,density,abundance
% cover bare,percent.cover,abundance
% cover fob,percent.cover,abundance
Grass cover (%),percent.cover,abundance
forb diversity,diversity,abundance
grass diversity,diversity,abundance
height,height,abundance
Total individuals,abundance,abundance
canopy height,height,abundance
green cover',percent.cover,abundance
abundance,abundance,abundance
grasshopper body length,body length,abundance
residual wing length,wing length,abundance
vegetation height,height,abundance
percent grass canopy,percent.cover,abundance
shrub cover,percent.cover,abundance
Number lizard scat,scat density,abundance
Exotic cover,percent.cover,abundance
Forb cover (%),percent.cover,abundance
Grass cover (%),percent.cover,abundance
Native cover,percent.cover,abundance
Tree cover,percent.cover,abundance
Vegetation cover,percent.cover,abundance
spore density,density,abundance
quantity,abundance,abundance
soil microbial biomass carbon abundance,Microbial biomass C content,abundance
abundance (adults;  21 to 24 july),abundance,abundance
abundance (adults; 14 to 17 july),abundance,abundance
abundance (adults; 5 to 8 august),abundance,abundance
abundance (adults; 8 to 13 july),abundance,abundance
abundance (nymphss;  21 to 24 july),abundance,abundance
abundance (nymphss; 14 to 17 july),abundance,abundance
abundance (nymphss; 5 to 8 august),abundance,abundance
abundance (nymphss; 8 to 13 july),abundance,abundance
burrow entrances,burrow entrances,abundance
density (baited trap),density,abundance
abundance (grass),abundance,abundance
aboveground biomass,abundance,abundance
belowground biomass,abundance,abundance
mound basal area,area,abundance
mound density,density,abundance
body mass,size,abundance
